subject,body,label
Client Feedback on Demo,Your weekly performance report is now available. Please review and reach out with questions.,0
Request for Access to Dashboard,Please make sure to submit your timesheet before Friday 5PM to avoid delays in payroll.,0
Security Alert: Suspicious Login Attempt,Alert: A login attempt was detected from an unrecognized device. Verify your identity to secure your account: [malicious-link],1
Client Feedback on Demo,We’ve updated the documentation for the backend services. Please review the new endpoints.,0
Updated Documentation Available,We’ve updated the documentation for the backend services. Please review the new endpoints.,0
Team Sync Tomorrow at 10AM,We’ve updated the documentation for the backend services. Please review the new endpoints.,0
Your Office 365 Account Has Been Suspended,Your recent payment attempt failed. Update your payment method to avoid service interruption: [malicious-link],1
Team Sync Tomorrow at 10AM,Please make sure to submit your timesheet before Friday 5PM to avoid delays in payroll.,0
Security Alert: Suspicious Login Attempt,Your package could not be delivered due to an address mismatch. Track and resolve the issue: [malicious-link],1
Dropbox Shared File: Invoice_2024.pdf,Your package could not be delivered due to an address mismatch. Track and resolve the issue: [malicious-link],1
Q2 Budget Planning,Can someone grant me access to the data visualization dashboard? I'm getting a 403 error.,0
Dropbox Shared File: Invoice_2024.pdf,Unusual activity was detected from an IP address in Russia. Please reset your password to protect your account.,1
Team Sync Tomorrow at 10AM,Please make sure to submit your timesheet before Friday 5PM to avoid delays in payroll.,0
Weekly Performance Report,You received 15 new messages in Slack. Tap here to view your summary.,0
Important: Verify Your Account,Your recent payment attempt failed. Update your payment method to avoid service interruption: [malicious-link],1
Reminder: Submit Your Timesheet,"Hi team,

Just a reminder about the sync scheduled for tomorrow at 10AM. Please come prepared with updates.",0
Your Office 365 Account Has Been Suspended,Alert: A login attempt was detected from an unrecognized device. Verify your identity to secure your account: [malicious-link],1
Request for Access to Dashboard,"The client provided positive feedback about the feature demo. Great job, everyone!",0
